#;;;;;Scenariusz Alternatyw;;;
#;;;;;;;;
#;used thresholds;0.4;0.55;0.55;1.0;;;
DEF;;;;;;;;
Zyzio;02452;Blue;Soft;Blinking;;;;
SCENARIO;;;;;;;;
Zyzio;;;;;;;;
#;;Zyzio;;;;;;
timestamp;related_object;Blue;Soft;Blinking;;;;
0;Zyzio;1;-1;-1;;;;
1;Zyzio;1;-1;-1;Is zyzio soft or blinking;No, it is soft or not blinking;;
2;Zyzio;1;-1;1;Is zyzio blue or blinking;Yes, it is blue or blinking;Is zyzio soft or blinking;Yes, it is soft or blinking
3;Zyzio;-1;-1;0;Is zyzio blue or blinking;I don't know what to say about it;;
4;Zyzio;0;0;-1;Is zyzio blue or soft;I don't know what to say about it;;
5;Zyzio;1;1;1;;;;
6;Zyzio;1;1;1;;;;
7;Zyzio;1;-1;0;Is zyzio soft or blinking;I don't know what to say about it;;
8;Zyzio;-1;-1;1;;;;
9;Zyzio;1;0;1;Is zyzio not soft or blinking;Yes, I know;;
#;;;;;;srednica = 0.0, poniewaz card(p and q) = card(not p and q) = card(not p and not q) = 0.33;;
10;Zyzio;0;1;-1;;;;
11;Zyzio;1;1;-1;;;;
12;Zyzio;1;1;-1;;;;
13;Zyzio;1;1;0;Is zyzio not soft or blinking;Yes, I believe that zyzio is not soft or blinking;;
14;Zyzio;1;1;-1;;;;
15;Zyzio;-1;1;-1;;;;
16;Zyzio;0;1;-1;;;;
17;Zyzio;1;1;0;Is zyzio not soft or blinking;Yes, it is possible that it is not soft or blinking;;
18;Zyzio;0;-1;1;;;;
19;Zyzio;1;-1;1;;;;
20;Zyzio;0;-1;1;;;;
21;Zyzio;1;-1;1;;;;
22;Zyzio;0;-1;1;;;;
23;Zyzio;-1;-1;1;;;;
24;Zyzio;1;-1;1;;;;
25;Zyzio;0;-1;1;;;;
26;Zyzio;-1;-1;1;;;;
27;Zyzio;-1;-1;1;;;;
28;Zyzio;1;-1;1;;;;
29;Zyzio;-1;-1;1;;;;
30;Zyzio;0;-1;1;;;;
31;Zyzio;1;-1;1;;;;
32;Zyzio;-1;-1;-1;;;;
33;Zyzio;1;-1;-1;;;;
34;Zyzio;1;-1;-1;;;;
35;Zyzio;0;-1;-1;;;;
36;Zyzio;0;-1;-1;;;;
37;Zyzio;1;-1;-1;;;;
38;Zyzio;1;-1;-1;;;;
39;Zyzio;0;-1;-1;;;;
40;Zyzio;-1;-1;-1;;;;
41;Zyzio;1;-1;-1;;;;
42;Zyzio;1;-1;-1;;;;
43;Zyzio;0;-1;-1;;;;
44;Zyzio;0;-1;-1;;;;
45;Zyzio;0;-1;-1;;;;
46;Zyzio;-1;1;1;;;;
47;Zyzio;1;1;1;;;;
48;Zyzio;0;1;1;;;;
49;Zyzio;1;1;1;;;;
50;Zyzio;-1;1;1;;;;
51;Zyzio;-1;1;1;;;;
52;Zyzio;0;1;1;;;;
53;Zyzio;1;1;1;;;;
54;Zyzio;0;1;1;;;;
55;Zyzio;0;1;1;;;;
56;Zyzio;-1;1;1;;;;
57;Zyzio;-1;1;1;;;;
58;Zyzio;-1;1;1;;;;
59;Zyzio;1;1;1;;;;
60;Zyzio;1;0;0;Is zyzio not soft or blinking;Yes, it is possible that it is not soft or blinking;;
61;Zyzio;0;1;1;;;;
62;Zyzio;0;1;1;;;;
63;Zyzio;1;1;0;Is zyzio not soft or blinking;Yes, it is possible that it is not soft or blinking;;
64;Zyzio;0;1;1;;;;
65;Zyzio;0;1;1;;;;
66;Zyzio;0;1;1;;;;
67;Zyzio;1;1;0;Is zyzio not soft or blinking;Yes, it is possible that it is not soft or blinking;;
